내부온도,내부습도,측정일시,누적일사량,내부Co2,품목명
16.79166667,86.22722222,2.0181E+13,0,378.0166667,토마토
16.30666667,86.25055556,2.0181E+13,0,395.05,토마토
26.24666667,91.72333333,2.01809E+13,1316,489.7333333,토마토
25.66833333,92.29083333,2.01809E+13,0,462.4,토마토
25.21583333,91.7875,2.01809E+13,0,471.5166667,토마토
24.80083333,90.65833333,2.01809E+13,0,475.9,토마토
24.6025,90.75083333,2.01809E+13,0,481.45,토마토
28.4725,84.11333333,2.01809E+13,0,381.2166667,토마토
28.0425,86.63916667,2.01809E+13,0,383.2,토마토
27.29666667,89.485,2.01809E+13,0,399.3,토마토
27.36,90.93916667,2.01809E+13,0,428.6666667,토마토
27.16583333,91.67083333,2.01809E+13,0,457.8833333,토마토
24.46833333,88.675,2.01808E+13,0,335.2,토마토
24.5875,87.52333333,2.01808E+13,0,344.7166667,토마토
24.48333333,88.2025,2.01808E+13,0,354.4166667,토마토
25.03083333,87.92416667,2.01808E+13,0,357.95,토마토
23.63666667,90.78416667,2.01808E+13,0,349.4833333,토마토
23.89666667,91.40333333,2.01808E+13,0,465.1,토마토
23.67833333,91.56,2.01808E+13,0,447.3,토마토
22.94333333,93.49416667,2.01808E+13,0,516.6333333,토마토
22.92333333,89.25083333,2.01808E+13,0,359.4333333,토마토
23.77333333,85.32583333,2.01808E+13,0,350.1,토마토
18.7,83.6,2.01809E+13,0,463,토마토
18.3,83.7,2.01809E+13,0,457,토마토
18.2,84.3,2.01809E+13,0,463,토마토
17.8,84.3,2.01809E+13,0,463,토마토
17.2,84,2.01809E+13,0,449,토마토
16.5,86.2,2.01809E+13,0,413,토마토
20.7,84.2,2.01809E+13,201,357,토마토
19.5,86.6,2.01809E+13,0,383,토마토
20.7,83.7,2.01809E+13,0,353,토마토
17.7,84.9,2.01809E+13,0,463,토마토
32.28083333,42,2.01809E+13,0,395.2833333,토마토
29.98416667,47.7675,2.01809E+13,0,379.5666667,토마토
27.56083333,51.24833333,2.01809E+13,0,375.75,토마토
24.68416667,55.115,2.01809E+13,0,366.9,토마토
21.9725,64.28916667,2.01809E+13,0,378.7333333,토마토
26.86166667,42.38166667,2.0181E+13,0,402.2,토마토
